"name","app_version","date","source","component","component_version","purl","transitive"
"Treeflex","4.0","2025-05-30T07:18:28.830453+00:00","cyclonedx-py","asgiref","3.8.1","pkg:pypi/asgiref@3.8.1","false"
"Treeflex","4.0","2025-05-30T07:18:28.830453+00:00","cyclonedx-py","django","5.1.1","pkg:pypi/django@5.1.1","false"
"Treeflex","4.0","2025-05-30T07:18:28.830453+00:00","cyclonedx-py","neo4j","5.19.0","pkg:pypi/neo4j@5.19.0","false"
"Treeflex","4.0","2025-05-30T07:18:28.830453+00:00","cyclonedx-py","neomodel","5.3.3","pkg:pypi/neomodel@5.3.3","false"
"Treeflex","4.0","2025-05-30T07:18:28.830453+00:00","cyclonedx-py","pytz","2024.2","pkg:pypi/pytz@2024.2","false"
"Treeflex","4.0","2025-05-30T07:18:28.830453+00:00","cyclonedx-py","sqlparse","0.5.1","pkg:pypi/sqlparse@0.5.1","false"
"Treeflex","4.0","2025-05-30T07:18:28.830453+00:00","cyclonedx-py","tzdata","2024.2","pkg:pypi/tzdata@2024.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","ajv","6.10.2","pkg:npm/ajv@6.10.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","fast-deep-equal","2.0.1","pkg:npm/fast-deep-equal@2.0.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","fast-json-stable-stringify","2.0.0","pkg:npm/fast-json-stable-stringify@2.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","json-schema-traverse","0.4.1","pkg:npm/json-schema-traverse@0.4.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","uri-js","4.2.2","pkg:npm/uri-js@4.2.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","punycode","2.1.1","pkg:npm/punycode@2.1.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","ajv-errors","1.0.1","pkg:npm/ajv-errors@1.0.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","async","2.6.3","pkg:npm/async@2.6.3","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","lodash","4.17.21","pkg:npm/lodash@4.17.21","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","axios","0.21.2","pkg:npm/axios@0.21.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","follow-redirects","1.14.4","pkg:npm/follow-redirects@1.14.4","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","badwords-list","1.0.0","pkg:npm/badwords-list@1.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","bcryptjs","2.4.3","pkg:npm/bcryptjs@2.4.3","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","cheerio","0.22.0","pkg:npm/cheerio@0.22.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","css-select","1.2.0","pkg:npm/css-select@1.2.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","boolbase","1.0.0","pkg:npm/boolbase@1.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","css-what","2.1.0","pkg:npm/css-what@2.1.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","domutils","1.5.1","pkg:npm/domutils@1.5.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","dom-serializer","0.1.0","pkg:npm/dom-serializer@0.1.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","domelementtype","1.1.3","pkg:npm/domelementtype@1.1.3","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","entities","1.1.1","pkg:npm/entities@1.1.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","domelementtype","1.3.0","pkg:npm/domelementtype@1.3.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","nth-check","1.0.1","pkg:npm/nth-check@1.0.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","htmlparser2","3.9.2","pkg:npm/htmlparser2@3.9.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","domhandler","2.4.1","pkg:npm/domhandler@2.4.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","inherits","2.0.3","pkg:npm/inherits@2.0.3","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","readable-stream","2.3.3","pkg:npm/readable-stream@2.3.3","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","core-util-is","1.0.2","pkg:npm/core-util-is@1.0.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","isarray","1.0.0","pkg:npm/isarray@1.0.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","process-nextick-args","1.0.7","pkg:npm/process-nextick-args@1.0.7","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","safe-buffer","5.1.1","pkg:npm/safe-buffer@5.1.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","string_decoder","1.0.3","pkg:npm/string_decoder@1.0.3","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","util-deprecate","1.0.2","pkg:npm/util-deprecate@1.0.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","lodash.assignin","4.2.0","pkg:npm/lodash.assignin@4.2.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","lodash.bind","4.2.1","pkg:npm/lodash.bind@4.2.1","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","lodash.defaults","4.2.0","pkg:npm/lodash.defaults@4.2.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","lodash.filter","4.6.0","pkg:npm/lodash.filter@4.6.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","lodash.flatten","4.4.0","pkg:npm/lodash.flatten@4.4.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","lodash.foreach","4.5.0","pkg:npm/lodash.foreach@4.5.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","lodash.map","4.6.0","pkg:npm/lodash.map@4.6.0","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","lodash.merge","4.6.2","pkg:npm/lodash.merge@4.6.2","false"
"Trippledex","18.0","2025-06-27T12:31:58Z","cdxgen","lodash.pick","4.4.0","pkg:npm/lodash.pick@4.4.0","false"
